-1-
北京市小客车指标调控管理信息系统
单位新能源指标配置
期号：201601
描述：2016年第01期单位示范应用新能源小客车指标配置结果
指标配置日期：2016-02-26
实际指标配置时间：2016-02-26 10:21:35
有效编码总数：1819
指标配置总数：1819
-指标配置列表-
轮候序号 轮候时间 申请编码
133 2016-01-04 15:13:35.270 1918105314888
134 2016-01-04 15:23:39.433 4138105314995
135 2016-01-04 15:49:02.374 7402105315309
136 2016-01-04 15:49:02.374 3800105315310
-5-
137 2016-01-04 15:49:02.374 1000105315311
138 2016-01-04 15:49:02.374 9653105315312
139 2016-01-04 15:49:02.374 9007105315313
140 2016-01-04 15:50:49.745 4536105315346
141 2016-01-04 15:50:49.745 9995105315347
142 2016-01-04 15:50:49.745 4893105315348
143 2016-01-04 15:50:49.745 2251105315349
144 2016-01-04 15:50:49.745 6005105315350
145 2016-01-04 15:54:47.296 7379105315400
146 2016-01-04 15:54:47.296 6162105315401
147 2016-01-04 15:57:07.498 8349105315443
148 2016-01-04 15:57:44.778 1633105368909
149 2016-01-04 16:09:49.316 5648105315629
150 2016-01-04 16:09:49.316 2081105315630
151 2016-01-04 16:15:01.656 2581105315672
152 2016-01-04 16:16:01.621 5094105315678
153 2016-01-04 16:16:01.621 5856105315679
154 2016-01-04 16:16:01.621 7104105315680
155 2016-01-04 16:16:01.621 6655105315681
156 2016-01-04 16:16:01.621 8781105315682
157 2016-01-04 16:16:10.347 6302105315706
158 2016-01-04 16:18:03.531 5710105315711
159 2016-01-04 16:18:03.531 9996105315712
160 2016-01-04 16:18:07.556 4068105315691
161 2016-01-04 16:34:39.910 0066105315868
162 2016-01-04 16:34:53.772 9083105315872
163 2016-01-04 16:40:09.682 3253105316027
164 2016-01-04 16:49:17.274 4264105316057
165 2016-01-04 16:52:03.440 3230105316103
166 2016-01-04 16:52:03.440 4008105316124
167 2016-01-04 16:57:54.116 1235105316197
168 2016-01-04 16:59:15.564 2152105316223
169 2016-01-04 17:01:34.221 1182105316232
170 2016-01-04 17:01:35.364 8606105316231
171 2016-01-04 17:12:47.282 6442105316364
172 2016-01-04 17:17:20.174 0820105316388
173 2016-01-04 17:19:44.463 4435105316433
174 2016-01-04 17:25:10.286 3913105316491
-6-
175 2016-01-04 17:44:54.327 6388105316606
176 2016-01-04 18:23:21.158 9485105316787
177 2016-01-04 19:20:50.314 3047105317005
178 2016-01-04 19:20:50.314 9540105317006
179 2016-01-04 20:57:34.572 6810105317372
180 2016-01-04 22:53:57.429 4195105317764
181 2016-01-05 04:10:50.557 6900105317877
182 2016-01-05 08:16:18.850 7740105317911
183 2016-01-05 08:24:15.529 1923105317917
184 2016-01-05 08:24:15.529 4722105317918
185 2016-01-05 08:24:15.529 1188105317919
186 2016-01-05 08:36:21.272 8844105317949
187 2016-01-05 08:36:21.272 8867105317950
188 2016-01-05 08:43:20.645 1617105318004
189 2016-01-05 08:43:20.645 7691105318005
190 2016-01-05 08:51:30.815 2587105318002
191 2016-01-05 08:51:30.815 2186105318003
192 2016-01-05 08:51:30.815 7642105318044
193 2016-01-05 08:51:30.815 3313105318045
194 2016-01-05 08:51:30.815 7718105318046
195 2016-01-05 09:15:28.415 4580105318238
196 2016-01-05 09:19:47.285 1188105320343
197 2016-01-05 09:19:47.285 8169105320364
198 2016-01-05 09:19:47.285 2504105320365
199 2016-01-05 09:25:10.360 3788105318337
200 2016-01-05 09:28:30.304 8867105318375
201 2016-01-05 09:28:30.304 4193105318376
202 2016-01-05 09:32:51.244 4655105318432
203 2016-01-05 09:37:06.790 8227105318473
204 2016-01-05 09:40:38.105 3707105318519
205 2016-01-05 09:40:38.105 6119105318520
206 2016-01-05 09:40:38.105 7619105318521
207 2016-01-05 09:41:44.205 2672105318591
208 2016-01-05 09:50:26.517 3743105318640
209 2016-01-05 09:52:40.176 6267105318652
210 2016-01-05 09:54:19.843 3468105318687
211 2016-01-05 09:54:19.843 8767105318688
212 2016-01-05 09:54:48.949 0067105318670
-7-
213 2016-01-05 10:03:41.730 7773105318760
214 2016-01-05 10:03:41.730 1008105318761
215 2016-01-05 10:03:41.730 0387105318762
216 2016-01-05 10:03:46.574 9752105318777
217 2016-01-05 10:11:32.517 3762105318854
218 2016-01-05 10:11:32.517 7484105318855
219 2016-01-05 10:11:32.517 6913105318856
220 2016-01-05 10:11:32.517 6174105318857
221 2016-01-05 10:11:32.517 5521105318858
222 2016-01-05 10:12:17.685 3068105318862
223 2016-01-05 10:12:17.685 1852105318863
224 2016-01-05 10:16:01.189 5317105318897
